text,label
Government announces free healthcare for all citizens,REAL
Scientists confirm climate change impacts increasing,REAL
Local school wins national robotics competition,REAL
New study shows benefits of regular exercise,REAL
Aliens spotted walking in downtown market,FAKE
Secret society controls world economy report claims,FAKE
Man claims time travel machine in garage,FAKE
Fake cure for cancer spreads on social media,FAKE
Prime minister launches new digital education program,REAL
Celebrity replaced by robot lookalike conspiracy,FAKE
NASA successfully launches new weather satellite,REAL
Drinking bleach cures all diseases viral post claims,FAKE
